unix,open,high,low,Volume ETH,Volume USDT,close,gains,losses,gains ave,losses ave,rs,rsi
1.52E+12,608.83,625.3,584.15,64720.20994,39356556.47,599.05,0,9.78,134.420111,315.1544627,0.426521363,29.89940242
1.52E+12,599.03,609.26,544,68022.4592,39167671.25,546.95,0,52.1,124.8186745,344.7434296,0.362062519,26.58193099
1.52E+12,547.98,560,450,248817.226,125170992.1,537,0,9.95,115.9030549,330.068899,0.351148064,25.98886631
1.52E+12,537.39,560,515.8,184798.7706,99812549.64,556.88,19.88,0,127.5042652,306.492549,0.416010979,29.37907861
1.52E+12,556.88,567.87,515,135426.9155,73696454.56,557,0.12,0,118.5168177,284.6002241,0.416432623,29.40010107
1.52E+12,557,590.52,545.11,117019.1732,66572210.67,559.17,2.17,0,112.2213307,264.2716367,0.424643871,29.80701911
1.52E+12,559.15,578.6,516,111106.1992,60459505.61,539.92,0,19.25,104.2055214,264.6450912,0.393755731,28.25141611
1.52E+12,539.78,544.72,506.71,106416.0675,55542669.04,543.03,3.11,0,99.87226988,245.7418704,0.406411287,28.89704391
1.52E+12,543.2,545.99,518.63,87710.78945,46963103.45,520.22,0,22.81,92.73853631,250.9988796,0.369477889,26.97947096
1.52E+12,521.17,536,512,71903.1713,37482165.18,523.74,3.52,0,89.63435515,233.0703882,0.384580623,27.77596456
1.52E+12,523.95,527.67,465.56,151084.2369,74104022.13,485,0,38.74,83.23190121,255.1625034,0.326191741,24.59612218
1.52E+12,485,491.55,446,138188.7604,63816245.43,448.5,0,36.5,77.28676541,273.4366103,0.282649662,22.03638844
1.52E+12,448.5,466,440.14,89895.47885,40547475.95,446.67,0,1.83,71.76628216,255.7354238,0.280627068,21.91325445
1.52E+12,446.07,449.43,380,225341.9432,91719449.93,384,0,62.67,66.64011915,300.1386078,0.222031146,18.16902515
1.52E+12,383.87,412.04,366,292254.7944,112316125.3,392.43,8.43,0,70.31011064,278.7001358,0.25227871,20.14557204
